Cell Barcode	cell_angle
D5_lib8_bc1_12_bc2_47_bc3_82	121.21002
D5_lib8_bc1_12_bc2_48_bc3_71	332.55078
D5_lib8_bc1_12_bc2_48_bc3_94	329.82266
D5_lib8_bc1_12_bc2_48_bc3_96	265.60223
D5_lib8_bc1_12_bc2_49_bc3_42	122.12952
D5_lib8_bc1_12_bc2_4_bc3_72	63.313995
D5_lib8_bc1_12_bc2_4_bc3_86	44.883453
D5_lib8_bc1_12_bc2_50_bc3_29	245.45746
D5_lib8_bc1_12_bc2_51_bc3_7	130.47156
D5_lib8_bc1_12_bc2_51_bc3_86	147.1913
D5_lib8_bc1_12_bc2_51_bc3_95	106.292786
D5_lib8_bc1_12_bc2_52_bc3_30	62.273438
D5_lib8_bc1_12_bc2_52_bc3_5	160.25769
D5_lib8_bc1_12_bc2_52_bc3_9	291.97626
D5_lib8_bc1_12_bc2_53_bc3_33	198.50197
D5_lib8_bc1_12_bc2_53_bc3_71	228.28873
D5_lib8_bc1_12_bc2_53_bc3_76	138.07115
D5_lib8_bc1_12_bc2_54_bc3_53	133.36935
D5_lib8_bc1_12_bc2_54_bc3_62	297.12842
D5_lib8_bc1_12_bc2_55_bc3_70	97.00391
D5_lib8_bc1_12_bc2_56_bc3_13	342.71222
D5_lib8_bc1_12_bc2_56_bc3_14	305.75647
D5_lib8_bc1_12_bc2_56_bc3_59	293.12634
D5_lib8_bc1_12_bc2_56_bc3_74	27.25177
D5_lib8_bc1_12_bc2_57_bc3_21	212.16103
D5_lib8_bc1_12_bc2_58_bc3_25	26.271423
D5_lib8_bc1_12_bc2_58_bc3_28	58.760864
D5_lib8_bc1_12_bc2_58_bc3_44	352.6147
D5_lib8_bc1_12_bc2_58_bc3_56	40.059937
D5_lib8_bc1_12_bc2_59_bc3_30	356.04504
D5_lib8_bc1_12_bc2_59_bc3_52	353.50244
D5_lib8_bc1_12_bc2_59_bc3_81	0.35357666
D5_lib8_bc1_12_bc2_5_bc3_22	273.37643
D5_lib8_bc1_12_bc2_5_bc3_64	27.166138
D5_lib8_bc1_12_bc2_60_bc3_38	71.76755
D5_lib8_bc1_12_bc2_60_bc3_53	225.08412
D5_lib8_bc1_12_bc2_61_bc3_94	306.7646
D5_lib8_bc1_12_bc2_62_bc3_10	114.16135
D5_lib8_bc1_12_bc2_62_bc3_75	68.250916
D5_lib8_bc1_12_bc2_64_bc3_17	212.10172
D5_lib8_bc1_12_bc2_64_bc3_34	163.21362
D5_lib8_bc1_12_bc2_65_bc3_22	242.03166
D5_lib8_bc1_12_bc2_65_bc3_50	42.686707
D5_lib8_bc1_12_bc2_65_bc3_65	253.5947
D5_lib8_bc1_12_bc2_65_bc3_71	20.705933
D5_lib8_bc1_12_bc2_65_bc3_78	148.81859
D5_lib8_bc1_12_bc2_66_bc3_29	33.323303
