Genes	Promoters - promoters upstream of gene	Regulation - transcription units of gene	Transcription Units	Regulation - transcription factor regulators of gene	Accession-1
G7583		TU0-13843	TU0-13843	PD00353	b3044
G7894		TU0-14179	TU0-14179		b4272
G0-10541		TU0-12904	TU0-12904		
G0-10542		TU0-13245	TU0-13245		
G0-10543		TU0-13480	TU0-13480		
G0-10544		TU0-13767	TU0-13767		
G0-10545		TU0-13843	TU0-13843	PD00353	
G0-10546		TU0-14179	TU0-14179		
G6213		TU0-12904	TU0-12904		b0361
G6723		TU0-13245	TU0-13245		b1402
G7076		TU0-13480	TU0-13480		b1996
G7480		TU0-13767	TU0-13767		b2860
G7584		TU0-13843	TU0-13843	PD00353	b3045
G7895		TU0-14179	TU0-14179		b4273
G6836		TU0-13331	TU0-13331	EG10226-MONOMER	b1578
G6168		TU0-12882	TU0-12882		b0298
G6224		TU0-12910	TU0-12910		b0373
G6296		TU0-12971	TU0-12971		b0540
G6534		TU0-13117	TU0-13117		b1027
G7125		TU0-13507	TU0-13507		b2088
G0-10525		TU0-12882	TU0-12882		
G0-10529		TU0-12910	TU0-12910		
G0-10530		TU0-12971	TU0-12971		
G0-10531		TU0-13117	TU0-13117		
G0-10528		TU0-13507	TU0-13507		
G6169		TU0-12882	TU0-12882		b0299
G6223		TU0-12910	TU0-12910		b0372
G6297		TU0-12971	TU0-12971		b0541
G6533		TU0-13117	TU0-13117		b1026
G7126		TU0-13507	TU0-13507		b2089
G7900		TU0-8830	TU0-8830		b4278
G6134		TU0-8831	TU0-8831		b0259
G7672		TU0-8832	TU0-8832		b3218
G7769		TU0-8833	TU0-8833		b3505
G6308		TU0-14363	TU0-14363		b0552
G0-16639					b4711
G6360		TU0-13015	TU0-13015	PD00353	b0656
G6667		TU0-13219	TU0-13219		b1331
G6693		TU0-8834	TU0-8834		b1370
G7074		TU0-13479	TU0-13479		b1994
G7092		TU0-14362	TU0-14362		b2030
G7150		TU0-8835	TU0-8835		b2192
G7548		TU0-8836	TU0-8836		b2982
G6131		TU0-12862	TU0-12862		b0256
G6725		TU0-13246	TU0-13246		b1404
G7905		TU0-14186	TU0-14186		b4284
G7776		TU0-14385	TU0-14385		b3557
G0-10624					
G7777	PM0-8642	TU0-8262	TU0-8262	PC00010 // G7072-MONOMER	b3558
G6083		TU0-12793	TU0-12793		b0016
G6327		TU0-12990	TU0-12990		b0582
G7255		TU0-13617	TU0-13617		b2394
G6130		TU0-12862	TU0-12862		b4587
G7904		TU0-14185	TU0-14185		b4623
G6743		TU0-14243	TU0-14243		b1432
EG11783		TU0-13688	TU0-13688	PD02850	b2622
EG12364		TU0-14178	TU0-14178		b4271
EG10507		TU0-8837	TU0-8837	G7072-MONOMER	b0537
EG12370		TU0-13148	TU0-13148		b1140
G6152		TU0-12874	TU0-12874		b0281
G6837		TU0-13331	TU0-13331	EG10226-MONOMER	b1579
G6676		TU0-13226	TU0-13226		b1345
G7218	PM0-36189	TU0-13600	TU0-13600		b2349
G7272		TU0-13628	TU0-13628	PD00353	b2442
G0-17079					
G6226		TU0-12912	TU0-12912		b0375
G7923		TU0-45219 // TU0-14766	TU0-45219 // TU0-14766	CPLX0-7797 // MONOMER0-160 // PD00353	b4326
G6600	PM0-36194 // PM0-10021	TU0-36425 // TU0-13156	TU0-36425 // TU0-13156	PHOSPHO-PHOP // CPLX0-7797 // PHOSPHO-ARCA	b1160
