cell_angle	gene_angle	expression
-2.7964296	1.2835739	0.29305094
-2.7964296	1.3472459	0.21541005
-2.7964296	1.4118669	0.17272736
-2.7964296	1.4748223	0.12151248
-2.7964296	1.5360754	0.12467882
-2.7964296	1.5980599	0.0022629108
-2.7964296	1.6663907	-0.0896088
-2.7964296	1.7288101	-0.120381035
-2.7964296	1.798456	-0.114082605
-2.7964296	1.8512938	-0.0874941
-2.7964296	1.9171097	-0.23056948
-2.7964296	1.9766657	-0.10903953
-2.7964296	2.0407388	-0.29303905
-2.7964296	2.1054275	-0.37088472
-2.7964296	2.1720955	-0.37211943
-2.7964296	2.2325804	-0.44284075
-2.7964296	2.2924125	-0.41324788
-2.7964296	2.3573797	-0.47313282
-2.7964296	2.412255	-0.4554964
-2.7964296	2.479071	-0.44855636
-2.7964296	2.5419009	-0.6615154
-2.7964296	2.6124566	-0.37508348
-2.7964296	2.669185	-0.6415406
-2.7964296	2.7308786	-0.5931409
-2.7964296	2.7952273	-0.5743108
-2.7964296	2.857693	-0.56692195
-2.7964296	2.9268115	-0.68346745
-2.7964296	2.9810236	-0.7940702
-2.7964296	3.047355	-0.7716948
-2.7964296	3.1033409	-0.53199595
-2.7337377	-3.1141748	-0.66790956
-2.7337377	-3.0425024	-0.6760269
-2.7337377	-2.9859805	-0.6945374
-2.7337377	-2.9254093	-0.728132
-2.7337377	-2.8621008	-0.7287548
-2.7337377	-2.793789	-0.69842905
-2.7337377	-2.7288628	-0.5268427
-2.7337377	-2.6726892	-0.5215478
-2.7337377	-2.6110296	-0.5176941
-2.7337377	-2.5438232	-0.5643796
-2.7337377	-2.481728	-0.44226852
-2.7337377	-2.4194777	-0.67609066
-2.7337377	-2.356198	-0.45038873
-2.7337377	-2.2991128	-0.48914108
-2.7337377	-2.2237759	-0.32759666
-2.7337377	-2.1641412	-0.44664505
-2.7337377	-2.106731	-0.30266783
-2.7337377	-2.0381565	-0.22991887
-2.7337377	-1.9820864	-0.308989
-2.7337377	-1.9139458	-0.27209568
